Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
01-01-2013,885.51,220.46,665.05,857.63,1263.77,-406.14
31-12-2012,1578.97,752.63,826.34,911.94,1112.91,-200.97
28-12-2012,2685.09,1851.69,833.4,773.1,1303.45,-530.35
27-12-2012,3731.45,3864.13,-132.68,1287.65,1154.88,132.77
26-12-2012,2035.17,1291.38,743.79,768.47,1069.32,-300.85
24-12-2012,1631.39,1171.72,459.67,542.53,780.79,-238.26
21-12-2012,2691.09,2575.74,115.35,1426.05,1167.84,258.21
20-12-2012,2819.74,2352.99,466.75,956.37,1400.39,-444.02
19-12-2012,4483.24,3238.28,1244.96,1016.32,1385.38,-369.06
18-12-2012,3343.85,2421.48,922.37,1165.96,1657.08,-491.12
17-12-2012,3551.68,2665,886.68,853.94,1544.27,-690.33
14-12-2012,2666.6,2092.22,574.38,888.98,1401.41,-512.43
13-12-2012,3668.94,2412.37,1256.57,890.42,1556.09,-665.67
12-12-2012,4380.29,3427.54,952.75,993.2,1358.27,-365.07
11-12-2012,3605.68,2295.8,1309.88,860.59,1888.93,-1028.34
10-12-2012,2561.71,1863.48,698.23,678.91,1265.49,-586.58
07-12-2012,2854.32,2206.27,648.05,1034.47,1832.95,-798.48
06-12-2012,2855.57,2017.43,838.14,1029.28,1692.02,-662.74
05-12-2012,2819.35,1940.78,878.57,1158.06,1797.84,-639.78
04-12-2012,2371.34,1831.39,539.95,1062.21,1496.31,-434.1
03-12-2012,1955.34,1652,303.34,1087.32,1423.26,-335.94
30-11-2012,8357.27,6745.84,1611.43,1455.74,2254.37,-798.63
29-11-2012,7345.23,5765.26,1579.97,1332.51,2228.73,-896.22
26-11-2012,1546.55,1383.41,163.14,600.01,795.67,-195.66
23-11-2012,1736.16,1369.79,366.37,532.64,716.91,-184.27
22-11-2012,1577.55,1462.79,114.76,674.13,838.13,-164
21-11-2012,2070.57,1887.98,182.59,756.42,889.5,-133.08
20-11-2012,2377.81,2234.43,143.38,769.65,781.18,-11.53
19-11-2012,1738.25,1739.77,-1.52,766.47,1269.07,-502.6
16-11-2012,2992.05,2482.34,509.71,919.18,1293.9,-374.72
15-11-2012,3742.91,3696.46,46.45,784.95,1166.62,-381.67
13-11-2012,120.16,138.25,-18.09,50.48,31.41,19.07
12-11-2012,3922.47,3692.74,229.73,909.41,1030.73,-121.32
08-11-2012,2053.35,1792.14,261.21,901.63,817.05,84.58
07-11-2012,2384.38,1655.93,728.45,1115.36,1312.31,-196.95
05-11-2012,1363.47,989.54,373.93,577.07,921.49,-344.42
31-10-2012,2194.02,1945.54,248.48,1038.05,1135.9,-97.85
30-10-2012,1448.83,1640.36,-191.53,1265.79,1297.63,-31.84
29-10-2012,1563.31,1639.88,-76.57,839.42,849.17,-9.75
26-10-2012,1612.59,1811.43,-198.84,854.24,944.17,-89.93
25-10-2012,4724.36,5275.7,-551.34,1061.26,1026.53,34.73
23-10-2012,2211.1,1958.7,252.4,658.04,956.93,-298.89
22-10-2012,1882.71,1641.03,241.68,741.38,879.27,-137.89
18-10-2012,2336.35,2405.22,-68.87,1208.96,1393.52,-184.56
17-10-2012,2176.6,2141.06,35.54,893.12,1141.52,-248.4
16-10-2012,1993.26,2197.45,-204.19,1342.58,747.19,595.39
15-10-2012,1273.02,1252.86,20.16,657.04,742.56,-85.52
12-10-2012,2292.36,2091.2,201.16,1172.31,984.02,188.29
11-10-2012,3429.18,2386.17,1043.01,987.53,1560.85,-573.32
10-10-2012,2079.28,1671.68,407.6,733.42,1129.78,-396.36
09-10-2012,2327.01,1713.03,613.98,697.69,1128.29,-430.6
08-10-2012,2979.06,2415.22,563.84,820.42,1599.03,-778.61
05-10-2012,6806.29,2454.3,4351.99,1439.55,1628.65,-189.1
04-10-2012,3245.74,2301.21,944.53,1327.64,2146.2,-818.56
03-10-2012,3626.4,3024.01,602.39,1048.51,1716.65,-668.14
01-10-2012,2104.6,1897.09,207.51,866.81,1341.01,-474.2
28-09-2012,3987.75,2757.4,1230.35,1412.26,2091.32,-679.06
27-09-2012,5509.53,5109.79,399.74,1496.19,1944.06,-447.87
26-09-2012,3601,2912.51,688.49,1315.8,2011.7,-695.9
25-09-2012,8586,2740.42,5845.58,1058.36,2432.47,-1374.11
24-09-2012,4500.86,2905.14,1595.72,1366.46,2522.91,-1156.45
21-09-2012,6806.02,4478.2,2327.82,1758.29,2885.57,-1127.28
20-09-2012,3187.08,3260.75,-73.67,1136.67,1467.78,-331.11
18-09-2012,3764.11,2714.94,1049.17,1506.03,2176.75,-670.72
17-09-2012,5889.33,3637.16,2252.17,2248.96,3086.68,-837.72
14-09-2012,5355.25,2521.53,2833.72,1818.41,2506.41,-688
13-09-2012,2001.61,1640.13,361.48,851.95,1008,-156.05
12-09-2012,1912.55,1461.36,451.19,1179.45,1235.21,-55.76
11-09-2012,1735.72,1312.13,423.59,711.27,1077.07,-365.8
10-09-2012,2033.66,1340.93,692.73,665.1,983.42,-318.32
07-09-2012,2634.02,2131.84,502.18,1423.49,1205.2,218.29
06-09-2012,1845.81,1679.23,166.58,887.06,920.82,-33.76
05-09-2012,2135.61,2324.26,-188.65,910.44,1076.72,-166.28
04-09-2012,1634.31,1329.9,304.41,702.67,808.27,-105.6
03-09-2012,1669.48,1724.27,-54.79,682.27,842.97,-160.7
31-08-2012,3084.38,3295.46,-211.08,1114.32,1286.86,-172.54
30-08-2012,5167.92,2861.82,2306.1,1836.46,1508.35,328.11
29-08-2012,2044.28,1900.98,143.3,850.84,1090.64,-239.8
28-08-2012,2006.02,1912.93,93.09,965.1,1279.49,-314.39
27-08-2012,1507.35,1306.96,200.39,520.7,1021.42,-500.72
24-08-2012,2068.49,1842.43,226.06,806.33,1163.01,-356.68
23-08-2012,2473.72,2161.93,311.79,929.59,1090.69,-161.1
22-08-2012,1554.76,1458.12,96.64,809.99,1040.13,-230.14
21-08-2012,2220.91,2079.54,141.37,1022.73,1164.37,-141.64
17-08-2012,2169.11,1860.89,308.22,1044.55,1004.36,40.19
16-08-2012,2447.9,2352.89,95.01,1259.33,1034.03,225.3
13-08-2012,2020.01,1680.25,339.76,701.28,877.62,-176.34
10-08-2012,2373.23,2290.07,83.16,786.3,1322.99,-536.69
09-08-2012,2272.94,1935.8,337.14,989.78,1744.18,-754.4
08-08-2012,2751.6,1637.39,1114.21,928.83,1723.53,-794.7
07-08-2012,2455.56,1639.61,815.95,1234.5,1179.26,55.24
06-08-2012,1738.14,1182.41,555.73,876.85,881.08,-4.23
03-08-2012,1508.84,1300.15,208.69,804.26,1238.91,-434.65
02-08-2012,1653.63,1513.5,140.13,838.34,904.82,-66.48
01-08-2012,2014.83,1573.38,441.45,813.64,986.61,-172.97
30-07-2012,2446.4,1517.45,928.95,882.49,1116.21,-233.72
27-07-2012,2812.53,2248.81,563.72,881.56,1136,-254.44
26-07-2012,2831.49,4012.19,-1180.7,1634.25,1211.55,422.7
25-07-2012,1760.39,2132.6,-372.21,1012.3,1022.77,-10.47
24-07-2012,1547.31,1800.22,-252.91,1091.62,1052.39,39.23
23-07-2012,1530.54,1421.37,109.17,701.25,1055,-353.75
20-07-2012,1691.17,1513.06,178.11,804.38,868.78,-64.4
19-07-2012,2021.6,1895.82,125.78,924.56,1153.4,-228.84
18-07-2012,2259.49,1983.09,276.4,821.88,987.63,-165.75
17-07-2012,2088.27,1613.32,474.95,777.45,1043.66,-266.21
16-07-2012,1639.72,1382.55,257.17,683.29,723.88,-40.59
13-07-2012,1957.01,1675.88,281.13,611.04,981.45,-370.41
12-07-2012,2470.46,2201.92,268.54,841.76,1379.74,-537.98
11-07-2012,2365.04,2280.62,84.42,759.44,1116.29,-356.85
10-07-2012,2170.26,1563.72,606.54,830.16,1318.49,-488.33
09-07-2012,1598.62,1345.64,252.98,627.55,915.2,-287.65
06-07-2012,1915.84,1344.07,571.77,859.8,1083.27,-223.47
05-07-2012,2659.08,2229.86,429.22,995.17,1198.2,-203.03
04-07-2012,2135.3,1896.11,239.19,1185.24,1347.01,-161.77
03-07-2012,2233.64,1643.93,589.71,715.98,1259.95,-543.97
02-07-2012,2104.11,1513.05,591.06,783.2,1230.69,-447.49
29-06-2012,4747.12,1700.36,3046.76,1532.57,1783.28,-250.71
28-06-2012,3805.31,4917.94,-1112.63,1858.24,1085.87,772.37
27-06-2012,1914.47,1828.38,86.09,709.31,724.38,-15.07
26-06-2012,1471.53,1458.5,13.03,625.14,980.19,-355.05
25-06-2012,1404.14,1251.04,153.1,773.18,747,26.18
22-06-2012,1310.71,1484.93,-174.22,884.49,885.76,-1.27
21-06-2012,1971.61,1852.03,119.58,1013.08,969.52,43.56
19-06-2012,1668.25,1761.55,-93.3,725.48,1004.18,-278.7
18-06-2012,1698.62,1286.21,412.41,895.55,958.91,-63.36
15-06-2012,2515.79,2176.79,339,801.7,922.37,-120.67
14-06-2012,1254.35,1149.27,105.08,655.4,938.23,-282.83
13-06-2012,1868.63,1650.95,217.68,918.99,842.12,76.87
12-06-2012,1423.32,1479.92,-56.6,868.66,922.87,-54.21
11-06-2012,1596.61,1466.23,130.38,739.49,954.15,-214.66
08-06-2012,1779.5,1577.49,202.01,716.51,797.99,-81.48
07-06-2012,2737.99,2062.51,675.48,939.25,972.99,-33.74
06-06-2012,3310.26,3041.05,269.21,1411.75,922.61,489.14
05-06-2012,1193.74,1874.6,-680.86,1400.18,605.53,794.65
04-06-2012,1492.85,2129.99,-637.14,1102.98,656.75,446.23
01-06-2012,1791.48,2011.86,-220.38,865.54,660.04,205.5
30-05-2012,2192.44,2203.18,-10.74,558.13,740.74,-182.61
29-05-2012,1539.21,1448.71,90.5,727.89,927.29,-199.4
28-05-2012,1233.83,1124.95,108.88,664.38,496.68,167.7
25-05-2012,1001.53,1625.29,-623.76,927.63,492.98,434.65
24-05-2012,1633.59,1739.32,-105.73,732.16,602.14,130.02
23-05-2012,1534.16,1895.23,-361.07,780.79,612.3,168.49
22-05-2012,1611.91,1895.25,-283.34,927.65,720.05,207.6
21-05-2012,1334.72,1414.31,-79.59,662.44,513.24,149.2
18-05-2012,1672.69,1921.62,-248.93,1021.59,872.65,148.94
17-05-2012,2289.29,2298.96,-9.67,955.33,701.18,254.15
16-05-2012,2239.47,2786.32,-546.85,1415.78,1243.95,171.83
15-05-2012,1824.1,2008.38,-184.28,924.29,1007.14,-82.85
14-05-2012,2080.58,1725.48,355.1,850.14,995.19,-145.05
11-05-2012,1525.07,1366.51,158.56,813.02,1056.31,-243.29
10-05-2012,1916.25,1598.83,317.42,1046.05,1189.58,-143.53
09-05-2012,2202.18,2578.52,-376.34,1222.15,1059.78,162.37
08-05-2012,1905.58,2304.56,-398.98,1177.65,920.05,257.6
07-05-2012,2162.56,2793.37,-630.81,1327.64,1053.87,273.77
04-05-2012,3419.72,2991.8,427.92,1118.42,1398.53,-280.11
03-05-2012,2361.49,2287.75,73.74,791.09,1138.09,-347
02-05-2012,2241.7,2004.23,237.47,939.25,868.13,71.12
30-04-2012,2100.62,1621.09,479.53,668.05,914.86,-246.81
27-04-2012,2078.31,2454.53,-376.22,967.17,824.61,142.56
26-04-2012,3356.74,3732.82,-376.08,1491.42,1427.93,63.49
25-04-2012,2176.64,2517.48,-340.84,911.18,870.48,40.7
24-04-2012,2158.43,3019.21,-860.78,1462.54,1043.46,419.08
23-04-2012,1351.7,1759.19,-407.49,1206.48,754.78,451.7
20-04-2012,1729.83,1415.79,314.04,1059.95,925.21,134.74
19-04-2012,1866.75,1969.21,-102.46,936.84,835.84,101
18-04-2012,2478,2256.37,221.63,988.09,950.21,37.88
17-04-2012,2403.64,1962.49,441.15,964.09,1177.3,-213.21
16-04-2012,1341.24,1850.67,-509.43,932.45,714.22,218.23
13-04-2012,2634.23,2496.98,137.25,1329.61,1809.29,-479.68
12-04-2012,2030.33,1894.35,135.98,1087.74,850.34,237.4
11-04-2012,1890.35,2336.12,-445.77,943.15,1025.39,-82.24
10-04-2012,1864.42,2193.09,-328.67,790.4,980.58,-190.18
09-04-2012,1075.5,1344.93,-269.43,586.69,692.51,-105.82
04-04-2012,1330.46,1284.64,45.82,839.54,712.84,126.7
03-04-2012,1995.03,1662.56,332.47,1096.77,896.49,200.28
02-04-2012,1861.47,1615.53,245.94,770.91,843.72,-72.81
29-03-2012,3954.15,5287,-1332.85,1408,1108.33,299.67
28-03-2012,2863.56,3011.62,-148.06,895.94,822.91,73.03
27-03-2012,3009.32,2966.33,42.99,1039.42,1329.47,-290.05
26-03-2012,3998.36,4133.65,-135.29,775.03,975.97,-200.94
23-03-2012,2310.91,2301.45,9.46,689.22,502.41,186.81
22-03-2012,2643.39,2396.83,246.56,1118.38,1251.51,-133.13
21-03-2012,3488.6,2865.96,622.64,956.01,1249.71,-293.7
20-03-2012,2110.5,1999.41,111.09,994.5,1114.85,-120.35
19-03-2012,2387.61,2226.74,160.87,1111.51,1407.49,-295.98
16-03-2012,3490.69,2607.11,883.58,1201.53,1971.92,-770.39
15-03-2012,2375.95,2219.93,156.02,809.83,1199,-389.17
14-03-2012,3813.19,2153.91,1659.28,1285.06,2142.17,-857.11
13-03-2012,2758.88,1886.2,872.68,943.46,1377.2,-433.74
12-03-2012,4375.76,3077.12,1298.64,1121.41,918.09,203.32
09-03-2012,4039.93,2755.28,1284.65,1106.66,1119.56,-12.9
07-03-2012,2240.41,2745,-504.59,984.58,1114.49,-129.91
06-03-2012,2629.95,2871.17,-241.22,1238.12,1058.21,179.91
05-03-2012,1867.04,1741.54,125.5,827.42,1085.75,-258.33
02-03-2012,2395,1816.35,578.65,994.28,1064.76,-70.48
01-03-2012,2133.21,2259.73,-126.52,998.54,1008.51,-9.97
29-02-2012,3666.24,3086.61,579.63,1113.77,1544.84,-431.07
28-02-2012,2937.55,2209.96,727.59,1283.87,1871.08,-587.21
27-02-2012,2957.94,2628.85,329.09,1206.72,1905.86,-699.14
24-02-2012,11138.59,2183.29,8955.3,1055.99,1892.7,-836.71
23-02-2012,4069.92,3965.37,104.55,1453.7,2094.63,-640.93
22-02-2012,4033.4,3203.77,829.63,1215.07,2547.97,-1332.9
21-02-2012,4091.84,2691.67,1400.17,1233.78,2477.93,-1244.15
17-02-2012,4126.95,3590.46,536.49,2419.64,2642.71,-223.07
16-02-2012,3251.56,3067.25,184.31,1383.42,1773.74,-390.32
14-02-2012,2955.58,1925.46,1030.12,1109.31,1517.95,-408.64
13-02-2012,2600.01,2130.24,469.77,832.72,1430.03,-597.31
10-02-2012,2672.61,2476.49,196.12,1335.59,1384.89,-49.3
09-02-2012,3985.22,2784.56,1200.66,964.39,2001.97,-1037.58
08-02-2012,4402.73,4018.49,384.24,1512.31,1936.77,-424.46
07-02-2012,2898.03,2279.19,618.84,916.16,1770.62,-854.46
06-02-2012,3512.46,2514.52,997.94,1378.21,1561.33,-183.12
03-02-2012,3193.37,2119.16,1074.21,1016.04,1931.62,-915.58
02-02-2012,5157.5,3216.27,1941.23,1488.05,2141.19,-653.14
01-02-2012,4997.28,3320.79,1676.49,1734.93,1767.22,-32.29
30-01-2012,2575.35,2777.06,-201.71,772.39,1306.08,-533.69
27-01-2012,4093.99,2853.83,1240.16,1036.66,1745.12,-708.46
25-01-2012,3920.65,2773.64,1147.01,1162.31,1874.31,-712
24-01-2012,3011.11,2209.82,801.29,1391.98,1654.63,-262.65
23-01-2012,1579.16,1637.96,-58.8,873.05,1311.53,-438.48
20-01-2012,3509.75,2689.91,819.84,1221.68,1836.47,-614.79
19-01-2012,2796.26,2170.12,626.14,1087.26,1333.85,-246.59
18-01-2012,3008.08,2132.23,875.85,884.51,1474.78,-590.27
17-01-2012,2963.72,1937.97,1025.75,1292.91,1722.14,-429.23
16-01-2012,1980.81,1623.13,357.68,649.83,879.38,-229.55
13-01-2012,2508.07,2214.56,293.51,1198.43,1375.69,-177.26
12-01-2012,2538.65,2031.85,506.8,944.07,1940.98,-996.91
11-01-2012,2631.16,2199.85,431.31,967.78,1149.96,-182.18
10-01-2012,2782.51,2458.19,324.32,1122.85,1237.96,-115.11
09-01-2012,1790.95,1827.41,-36.46,583.75,554.49,29.26
06-01-2012,1852.48,1842.04,10.44,618.95,817.83,-198.88
05-01-2012,2247.61,1866.19,381.42,795.65,1084.86,-289.21
04-01-2012,1836.86,1697.89,138.97,856.02,939.43,-83.41
03-01-2012,1356.89,1101.5,255.39,988.27,781.76,206.51
02-01-2012,458.53,552.4,-93.87,579.04,494.7,84.34
29-12-2011,1504.5,2520.32,-1015.82,996.86,673.79,323.07
28-12-2011,1238.81,1157.37,81.44,532.14,628.63,-96.49
27-12-2011,1038.06,823.75,214.31,497.22,592.51,-95.29
26-12-2011,547.02,433.59,113.43,435.94,554.92,-118.98
23-12-2011,1281.1,1196.83,84.27,651.02,729.57,-78.55
22-12-2011,1852.18,2088.57,-236.39,1045.8,816.06,229.74
21-12-2011,2208.25,2352.48,-144.23,1019.65,1152.91,-133.26
20-12-2011,1976.14,2502.4,-526.26,1053.82,867.1,186.72
19-12-2011,2259.17,2709.54,-450.37,1138.83,1120.23,18.6
16-12-2011,2235.54,2455.79,-220.25,1159.08,823.78,335.3
15-12-2011,2991.84,3315.12,-323.28,986.71,938.62,48.09
14-12-2011,2246.43,2386.56,-140.13,1022.94,573.35,449.59
13-12-2011,1597.52,2158.32,-560.8,1251.49,769.56,481.93
12-12-2011,1522.08,1950.38,-428.3,1116.61,950.32,166.29
09-12-2011,1771.67,2020.24,-248.57,985.02,869.81,115.21
08-12-2011,2164.69,2138.97,25.72,845.47,1042.98,-197.51
07-12-2011,2789.71,2654.35,135.36,911.3,1101.41,-190.11
05-12-2011,1506.92,1360.19,146.73,650.91,613.24,37.67
02-12-2011,2588.37,1991.48,596.89,838.13,945.66,-107.53
01-12-2011,2422.63,1735.37,687.26,907.86,1620.94,-713.08
30-11-2011,6245.15,6211.03,34.12,1942.65,2136.47,-193.82
29-11-2011,1937.89,2258.76,-320.87,1172.69,811.46,361.23
28-11-2011,1723.62,2026.21,-302.59,1075.94,768.64,307.3
25-11-2011,1410.6,2215.6,-805,1763.47,726.92,1036.55
24-11-2011,2072.95,3709.03,-1636.08,1908.66,860.91,1047.75
23-11-2011,1776.24,2962.66,-1186.42,1794.71,868.55,926.16
22-11-2011,1764.71,2717.39,-952.68,1814.54,749.03,1065.51
21-11-2011,1886.49,2629.51,-743.02,1351.35,755.8,595.55
18-11-2011,1796.37,2667.99,-871.62,1375.06,994.67,380.39
17-11-2011,1943.27,2138.47,-195.2,1149.83,778.24,371.59
16-11-2011,1743.78,2232.67,-488.89,1374.11,1096.32,277.79
15-11-2011,1698.84,2108.61,-409.77,2108.61,783.26,1325.35
14-11-2011,2542.99,2221.37,321.62,862.44,871.74,-9.3
11-11-2011,3049.99,3133.25,-83.26,1045.76,1158.94,-113.18
09-11-2011,2280.59,1721.55,559.04,811.92,1343.78,-531.86
08-11-2011,1696.02,1239.74,456.28,369.26,746.73,-377.47
04-11-2011,2256.56,2127.94,128.62,938.47,867.98,70.49
03-11-2011,1884.03,1868.58,15.45,973.06,971.15,1.91
02-11-2011,1469.28,1477.06,-7.78,736.5,744.29,-7.79
01-11-2011,1914.74,1935.4,-20.66,666.56,1239.97,-573.41
31-10-2011,2587.45,2228.67,358.78,945.29,1221.65,-276.36
28-10-2011,5496.62,3330.41,2166.21,1200.25,2278.66,-1078.41
25-10-2011,3678.07,3233.31,444.76,1341.45,2220.91,-879.46
24-10-2011,1739.51,1638.41,101.1,693.32,852.16,-158.84
21-10-2011,1364.41,1598.42,-234.01,822.86,749.5,73.36
20-10-2011,1468.86,1940.86,-472,719.91,845.18,-125.27
19-10-2011,1768.89,1783.34,-14.45,763.47,857.93,-94.46
18-10-2011,1821.6,2106.79,-285.19,830.19,963.08,-132.89
17-10-2011,2653.35,2058.34,595.01,1287.4,1393.95,-106.55
14-10-2011,1921.6,2015.64,-94.04,894.46,1132.31,-237.85
13-10-2011,2529.14,1859.06,670.08,902.87,1160.23,-257.36
12-10-2011,2653.35,2058.34,595.01,1287.4,1393.95,-106.55
11-10-2011,2821.63,2707.48,114.15,1338.5,1230.33,108.17
10-10-2011,2439.48,2227.77,211.71,1133.52,1170.65,-37.13
07-10-2011,3567.05,3075.5,491.55,1211.01,1191.6,19.41
05-10-2011,2025.78,3034.65,-1008.87,1153.21,830.81,322.4
04-10-2011,2062.41,3033.85,-971.44,1578.45,1022.64,555.81
03-10-2011,1633.82,2459.71,-825.89,1112.85,817.51,295.34
29-09-2011,3539.32,3769.62,-230.3,1058.77,1461.65,-402.88
28-09-2011,2705.14,2520.17,184.97,907.32,791.73,115.59
27-09-2011,2132.8,2098.72,34.08,960.76,690.71,270.05
26-09-2011,1240.6,2324.43,-1083.83,1165.51,590.3,575.21
23-09-2011,1640.68,2920.29,-1279.61,1480.67,715.29,765.38
22-09-2011,1364.68,2670.23,-1305.55,1421.47,678,743.47
21-09-2011,2009.89,1766.44,243.45,866.17,881.65,-15.48
20-09-2011,2118.13,1799.29,318.84,748.52,1066.21,-317.69
19-09-2011,1475.52,1641.73,-166.21,530.65,568.15,-37.5
16-09-2011,3675.29,3280.13,395.16,1165.58,1126.25,39.33
15-09-2011,1978.63,1842.08,136.55,795.5,791.1,4.4
14-09-2011,2101.11,2146.93,-45.82,788.79,971.47,-182.68
13-09-2011,1281.69,1750.1,-468.41,877.27,756.08,121.19
12-09-2011,1582.64,2517.38,-934.74,1150.9,722.97,427.93
09-09-2011,2355.77,2783.44,-427.67,1125.2,1040.13,85.07
08-09-2011,2228.54,2214.36,14.18,853.19,1119.8,-266.61
07-09-2011,3049.63,2787.2,262.43,1224.7,1305.51,-80.81
06-09-2011,3629.92,3198.44,431.48,862.48,1277.65,-415.17
05-09-2011,2971.1,2837.88,133.22,1110.29,963.06,147.23
02-09-2011,4704.39,3546.01,1158.38,906.05,1252.33,-346.28
30-08-2011,2965.58,2344.68,620.9,1283.68,1181.77,101.91
29-08-2011,2211.38,1845.19,366.19,823.88,1149.38,-325.5
26-08-2011,2145.7,2371.95,-226.25,1169.39,776.49,392.9
25-08-2011,3102.79,4543.34,-1440.55,1271.59,886.58,385.01
24-08-2011,1853.82,2737.3,-883.48,1161.68,600.58,561.1
23-08-2011,2577.78,2678.12,-100.34,928.39,625.5,302.89
22-08-2011,1489.25,2275.57,-786.32,1024.4,881.06,143.34
19-08-2011,2816.01,3718.62,-902.61,1653.42,1230.17,423.25
18-08-2011,2388.42,2877.09,-488.67,1291.78,961.36,330.42
17-08-2011,2262.74,2670.42,-407.68,1061.56,892.14,169.42
16-08-2011,2526.33,2787.45,-261.12,908.76,657.09,251.67
12-08-2011,2380.52,2851.61,-471.09,1302.32,1203.3,99.02
11-08-2011,2416.12,2475.91,-59.79,1179.49,913.24,266.25
09-08-2011,2410.06,4514.62,-2104.56,3009.88,1596.92,1412.96
08-08-2011,1642.22,3028,-1385.78,2620.3,1299.92,1320.38
05-08-2011,2178.86,3967.82,-1788.96,2911.09,1538.6,1372.49
04-08-2011,2399.2,2653.75,-254.55,1177.3,860.8,316.5
03-08-2011,1914.73,2784.42,-869.69,1464.19,1041.71,422.48
02-08-2011,1853.67,2055.35,-201.68,1231.41,1091.53,139.88
01-08-2011,1860.6,1773.77,86.83,956.14,1051.4,-95.26
28-07-2011,4126.11,4061.45,64.66,1878.11,1468.77,409.34
27-07-2011,2818.42,2831.35,-12.93,1309.12,1309.31,-0.19
26-07-2011,2479.17,2656.92,-177.75,1387.82,1356.33,31.49
25-07-2011,2608.84,2293.12,315.72,1511.75,1287.5,224.25
22-07-2011,2718.66,2273.75,444.91,1329.71,1086.66,243.05
21-07-2011,1627.54,2205.18,-577.64,1223.92,815.56,408.36
20-07-2011,1876.93,1967.37,-90.44,1198.73,1178.25,20.48
19-07-2011,1922.8,1629.51,293.29,802.67,1029.59,-226.92
18-07-2011,1965.73,2058.74,-93.01,797.83,634.21,163.62
15-07-2011,1647.52,1574.49,73.03,687.05,726.19,-39.14
14-07-2011,2339.99,2128.53,211.46,1591.7,1073.88,517.82
13-07-2011,2387.52,2071.57,315.95,963.38,1332.29,-368.91
12-07-2011,1386.95,2356.39,-969.44,1326.18,1039.41,286.77
11-07-2011,1889.74,1456.79,432.95,736.35,662.71,73.64
08-07-2011,3034.33,2165.62,868.71,1420.57,1581.6,-161.03
07-07-2011,3034.33,2165.62,868.71,1420.57,1581.6,-161.03
06-07-2011,2076.04,1855.59,220.45,991.95,1072.18,-80.23
05-07-2011,2666.56,1841.04,825.52,984.37,1882.86,-898.49
04-07-2011,2820.06,1688.34,1131.72,982.13,1351.45,-369.32
01-07-2011,2603.52,2003.86,599.66,1044.68,1499.99,-455.31
29-06-2011,3099.16,2429.81,669.35,1290.67,1531.26,-240.59
28-06-2011,2774.22,1954.81,819.41,999.42,1574.48,-575.06
27-06-2011,3754,2306.58,1447.42,933.65,1700.03,-766.38
24-06-2011,3682.65,2792.21,890.44,1064.62,1551.47,-486.85
23-06-2011,1902.96,1673.75,229.21,866.12,624.17,241.95
22-06-2011,1842.76,2130.16,-287.4,824.99,667.62,157.37
21-06-2011,1699.74,2263.1,-563.36,1143.76,713.35,430.41
20-06-2011,2577.97,3090.54,-512.57,1545.17,681.86,863.31
17-06-2011,2111.19,2501.75,-390.56,851.51,886.88,-35.37
16-06-2011,2191.29,2790.81,-599.52,1308.28,1022.18,286.1
15-06-2011,2461.5,2632.06,-170.56,1009.26,868.12,141.14
14-06-2011,3085.03,3883.56,-798.53,1700.97,1090.25,610.72
13-06-2011,1543.66,1847.83,-304.17,917.1,889.76,27.34
10-06-2011,2026.81,2196.86,-170.05,839.45,502.47,336.98
09-06-2011,1842.66,1867.39,-24.73,564.46,555.49,8.97
08-06-2011,1883.45,1833.02,50.43,692.01,606.54,85.47
07-06-2011,2012.41,1899.71,112.7,692.19,660.9,31.29
06-06-2011,1589.1,1790.88,-201.78,720.73,535.74,184.99
03-06-2011,1959.78,1514.52,445.26,488.37,843.88,-355.51
02-06-2011,1748.22,1763.01,-14.79,897.38,1027.98,-130.6
01-06-2011,2322.81,1877.59,445.22,644.8,786.76,-141.96
30-05-2011,2431.25,2177.77,253.48,740.25,790.64,-50.39
27-05-2011,2719.76,2497.73,222.03,1076.64,688.39,388.25
26-05-2011,3743.64,3619.26,124.38,1696.01,1462.48,233.53
25-05-2011,2614.34,2985.13,-370.79,946.27,766.86,179.41
24-05-2011,2539.94,2351.78,188.16,778.17,745.22,32.95
23-05-2011,1959.21,2252.77,-293.56,1070,875.78,194.22
20-05-2011,2255.82,2437.37,-181.55,1406.18,1007.99,398.19
19-05-2011,2113.76,2151.17,-37.41,1127.33,994.99,132.34
18-05-2011,2451.46,2830.9,-379.44,1115.97,1088.51,27.46
17-05-2011,1968.92,2456.12,-487.2,814.27,1384.56,-570.29
16-05-2011,1854.03,1806.96,47.07,752.71,749.3,3.41
13-05-2011,2315.61,2476.96,-161.35,870.44,881.97,-11.53
12-05-2011,1578.06,1998.09,-420.03,1048.02,735.58,312.44
11-05-2011,2362.44,2237.37,125.07,827.85,738.73,89.12
10-05-2011,1451.06,1426.04,25.02,768.09,637.23,130.86
09-05-2011,1935.01,1738.59,196.42,500.92,626.7,-125.78
06-05-2011,2579.11,3234.45,-655.34,2065.76,1047.72,1018.04
05-05-2011,2005.09,2784.57,-779.48,1826.36,889.13,937.23
04-05-2011,2137.74,3129.88,-992.14,1775.52,861.42,914.1
03-05-2011,2624.11,3802.77,-1178.66,1812.46,1205.63,606.83
02-05-2011,1865.78,2126.81,-261.03,901.12,1051.64,-150.52
29-04-2011,3023.81,3713.7,-689.89,1230.42,1291.48,-61.06
28-04-2011,4257.02,5089.61,-832.59,1868.83,1336.23,532.6
